DATETIMEUTC,Unnamed:0,cpu_usage,cpu_usagemhz,mem_active,mem_consumed,mem_granted,mem_usage,net_received,net_transmitted,net_usage,GLOBAL_CUSTOMER_ID,day,weekday,hour,minute,hist-1D8H,hist-1D4H,hist-1D2H,hist-1D1H,hist-1D,hist-1D15m,hist-1D30m,hist-1D45m
2017-04-04 23:00:00,3274.66666667,635.666666667,317.0,44736.3333333,2652160.0,2652160.0,105.333333333,0.0,0.0,0.0,,4,1,23,0,637.666666667,636.666666667,640.666666667,636.0,636.0,641.0,639.0,638.333333333
2017-04-04 23:15:00,3318.33333333,639.333333333,319.0,36348.0,2652160.0,2652160.0,85.3333333333,0.0,0.0,0.0,,4,1,23,15,635.333333333,637.666666667,638.333333333,638.333333333,638.0,636.0,641.0,639.0
2017-04-04 23:30:00,3253.66666667,637.333333333,317.666666667,49397.0,2652160.0,2652160.0,116.666666667,0.0,0.0,0.0,,4,1,23,30,636.666666667,637.333333333,639.333333333,639.0,637.333333333,638.0,636.0,641.0
2017-04-04 23:45:00,3264.33333333,639.0,319.0,59649.6666667,2652160.0,2652160.0,141.0,0.0,0.0,0.0,,4,1,23,45,639.333333333,636.333333333,638.666666667,641.0,634.666666667,637.333333333,638.0,636.0
2017-04-05 00:00:00,3325.0,636.666666667,317.0,36348.0,2652160.0,2652160.0,85.6666666667,0.0,0.0,0.0,,5,2,0,0,641.0,635.333333333,636.0,636.0,636.666666667,634.666666667,637.333333333,638.0
2017-04-05 00:15:00,3310.66666667,636.0,317.333333333,46600.6666667,2652160.0,2652160.0,110.0,0.0,0.0,0.0,,5,2,0,15,640.666666667,635.0,638.333333333,638.0,638.0,636.666666667,634.666666667,637.333333333
2017-04-05 00:30:00,3252.0,638.333333333,318.666666667,64309.3333333,2652160.0,2652160.0,152.0,0.0,0.0,0.0,,5,2,0,30,640.333333333,638.333333333,639.0,637.333333333,639.0,638.0,636.666666667,634.666666667
2017-04-05 00:45:00,3253.0,636.0,317.333333333,39145.0,2652160.0,2652160.0,92.3333333333,0.0,0.0,0.0,,5,2,0,45,638.666666667,638.0,641.0,634.666666667,639.333333333,639.0,638.0,636.666666667
2017-04-05 01:00:00,3283.33333333,638.333333333,318.0,30756.6666667,2652160.0,2652160.0,72.3333333333,0.0,0.0,0.0,,5,2,1,0,637.666666667,640.666666667,636.0,636.666666667,634.666666667,639.333333333,639.0,638.0
2017-04-05 01:15:00,3348.66666667,638.666666667,318.333333333,39144.0,2652160.0,2652160.0,92.3333333333,0.0,0.0,0.0,,5,2,1,15,639.0,638.333333333,638.0,638.0,638.333333333,634.666666667,639.333333333,639.0
2017-04-05 01:30:00,3307.33333333,639.666666667,319.0,45669.3333333,2652160.0,2652160.0,107.666666667,0.0,0.0,0.0,,5,2,1,30,638.666666667,639.333333333,637.333333333,639.0,635.666666667,638.333333333,634.666666667,639.333333333
2017-04-05 01:45:00,3265.0,634.666666667,316.666666667,38212.6666667,2652160.0,2652160.0,90.3333333333,0.0,0.0,0.0,,5,2,1,45,635.666666667,638.666666667,634.666666667,639.333333333,637.666666667,635.666666667,638.333333333,634.666666667
