DATETIMEUTC,cpu_usage,cpu_usagemhz,mem_active,mem_consumed,mem_granted,mem_usage,net_received,net_transmitted,net_usage,VM_ID,day,weekday,hour,minute,hist_1D8H,hist_1D4H,hist_1D2H,hist_1D1H,hist_1D,hist_1D15m,hist_1D30m,hist_1D45m
3/15/17 3:45,644.3333333,321.3333333,33552.33333,2577794.667,2577794.667,79,0,0,0,1,15,2,3,45,642.3333333,643.6666667,640,641,640.3333333,643,642,640
3/15/17 4:00,641.6666667,320,13980,2578432,2578432,32.66666667,0,0,0,1,15,2,4,0,646.3333333,643.3333333,642.3333333,640,643.3333333,640.3333333,643,642
3/15/17 4:15,644.3333333,321.3333333,31688,2578432,2578432,74.66666667,0,0,0,1,15,2,4,15,642.6666667,644.3333333,643.3333333,642,643.6666667,643.3333333,640.3333333,643
3/15/17 4:30,642.6666667,320.6666667,37280.66667,2578432,2578432,87.66666667,0,0,0,1,15,2,4,30,643.6666667,644,644.3333333,643,644.6666667,643.6666667,643.3333333,640.3333333
3/15/17 4:45,644.6666667,321.3333333,25164,2578432,2578432,59,0,0,0,1,15,2,4,45,642.6666667,643.3333333,641,640.3333333,644.3333333,644.6666667,643.6666667,643.3333333
3/15/17 5:00,644.6666667,321.6666667,38212.33333,2578432,2578432,90,0,0,0,1,15,2,5,0,645.6666667,641.6666667,640,643.3333333,644.3333333,644.3333333,644.6666667,643.6666667
3/15/17 5:15,643.6666667,321.3333333,62445.66667,2578432,2578432,147.6666667,0,0,0,1,15,2,5,15,642.6666667,641.6666667,642,643.6666667,642.3333333,644.3333333,644.3333333,644.6666667
3/15/17 5:30,645.3333333,321.6666667,53125.66667,2578432,2578432,125.3333333,0,0,0,1,15,2,5,30,645.6666667,643,643,644.6666667,642.6666667,642.3333333,644.3333333,644.3333333
3/15/17 5:45,645.3333333,322,12116,2578432,2578432,28.33333333,0,0,0,1,15,2,5,45,643.3333333,640,640.3333333,644.3333333,643,642.6666667,642.3333333,644.3333333
3/15/17 6:00,643.6666667,321,37281,2578432,2578432,87.66666667,0,0,0,1,15,2,6,0,644,642.3333333,643.3333333,644.3333333,643.6666667,643,642.6666667,642.3333333
3/15/17 6:15,646.3333333,321.6666667,56854,2578432,2578432,134.6666667,0,0,0,1,15,2,6,15,645.3333333,643.3333333,643.6666667,642.3333333,642,643.6666667,643,642.6666667
3/15/17 6:30,644.6666667,321.6666667,41008.33333,2578432,2578432,96.66666667,0,0,0,1,15,2,6,30,644.3333333,644.3333333,644.6666667,642.6666667,644,642,643.6666667,643
3/15/17 6:45,645.6666667,322.3333333,35417.33333,2578432,2578432,83.66666667,0,0,0,1,15,2,6,45,644.6666667,641,644.3333333,643,643.6666667,644,642,643.6666667
3/15/17 7:00,643.5,319.6666667,70834.66667,2578432,2578432,167.6666667,0,0,0,1,15,2,7,0,642,640,644.3333333,643.6666667,643.3333333,643.6666667,644,642
3/15/17 7:15,641.3333333,320,48465.66667,2578432,2578432,114.3333333,0,0,0,1,15,2,7,15,640.3333333,642,642.3333333,642,643.3333333,643.3333333,643.6666667,644
3/15/17 7:30,641,319.6666667,44736.33333,2578432,2578432,105.3333333,0,0,0,1,15,2,7,30,643.3333333,643,642.6666667,644,640.6666667,643.3333333,643.3333333,643.6666667
3/15/17 7:45,644,321.3333333,59649.66667,2578432,2578432,141,0,0,0,1,15,2,7,45,643.6666667,640.3333333,643,643.6666667,639.6666667,640.6666667,643.3333333,643.3333333
3/15/17 8:00,642,320.3333333,44737,2578432,2578432,105.6666667,0,0,0,1,15,2,8,0,643.3333333,643.3333333,643.6666667,643.3333333,642,639.6666667,640.6666667,643.3333333
3/15/17 8:15,641,320,54989.33333,2578432,2578432,130,0,0,0,1,15,2,8,15,644.3333333,643.6666667,642,643.3333333,642.6666667,642,639.6666667,640.6666667
3/15/17 8:30,643.6666667,321,39145,2578432,2578432,92,0,0,0,1,15,2,8,30,644,644.6666667,644,640.6666667,642,642.6666667,642,639.6666667
3/15/17 8:45,656,327,68038.66667,2578796,2578796,160.6666667,0,0,0,1,15,2,8,45,643.3333333,644.3333333,643.6666667,639.6666667,643,642,642.6666667,642
3/15/17 9:00,644.3333333,321.3333333,59650,2582528,2582528,141,0,0,0,1,15,2,9,0,641.6666667,644.3333333,643.3333333,642,642.3333333,643,642,642.6666667
3/15/17 9:15,642.3333333,320.3333333,44736.33333,2582528,2582528,105.6666667,0,0,0,1,15,2,9,15,641.6666667,642.3333333,643.3333333,642.6666667,642.3333333,642.3333333,643,642
3/15/17 9:30,641.5,320,34950,2582528,2582528,85.33333333,0,0,0,1,15,2,9,30,643,642.6666667,640.6666667,642,638.6666667,642.3333333,642.3333333,643
3/15/17 9:45,644,321,38212.66667,2582528,2582528,90,0,0,0,1,15,2,9,45,640,643,639.6666667,643,643,638.6666667,642.3333333,642.3333333
3/15/17 10:00,642.3333333,320.3333333,55921,2582528,2582528,132,0,0,0,1,15,2,10,0,642.3333333,643.6666667,642,642.3333333,642.6666667,643,638.6666667,642.3333333
3/15/17 10:15,645.6666667,322,48464.33333,2582528,2582528,114,0,0,0,1,15,2,10,15,643.3333333,642,642.6666667,642.3333333,643.3333333,642.6666667,643,638.6666667
3/15/17 10:30,641.6666667,320,75495,2582528,2582528,178.6666667,0,0,0,1,15,2,10,30,644.3333333,644,642,638.6666667,640,643.3333333,642.6666667,643
3/15/17 10:45,644,321,33552.33333,2582528,2582528,79,0,0,0,1,15,2,10,45,641,643.6666667,643,643,642,640,643.3333333,642.6666667
3/15/17 11:00,644,321.3333333,27028,2582528,2582528,63.66666667,0,0,0,1,15,2,11,0,640,643.3333333,642.3333333,642.6666667,644.6666667,642,640,643.3333333
3/15/17 11:15,645.3333333,321.6666667,47533.66667,2582528,2582528,112.3333333,0,0,0,1,15,2,11,15,642,643.3333333,642.3333333,643.3333333,641.6666667,644.6666667,642,640
3/15/17 11:30,642,320,36348.33333,2582528,2582528,85.66666667,0,0,0,1,15,2,11,30,643,640.6666667,638.6666667,640,641.3333333,641.6666667,644.6666667,642
3/15/17 11:45,644.3333333,321.3333333,45668.66667,2582528,2582528,108,0,0,0,1,15,2,11,45,640.3333333,639.6666667,643,642,643.6666667,641.3333333,641.6666667,644.6666667
3/15/17 12:00,642,320,43804.66667,2582528,2582528,103.3333333,0,0,0,1,15,2,12,0,643.3333333,642,642.6666667,644.6666667,642,643.6666667,641.3333333,641.6666667
3/15/17 12:15,640.6666667,319.6666667,34484.33333,2582528,2582528,81.33333333,0,0,0,1,15,2,12,15,643.6666667,642.6666667,643.3333333,641.6666667,645.3333333,642,643.6666667,641.3333333
3/15/17 12:30,641,319.6666667,64310,2582528,2582528,151.6666667,0,0,0,1,15,2,12,30,644.6666667,642,640,641.3333333,640.3333333,645.3333333,642,643.6666667
3/15/17 12:45,642.3333333,320.3333333,63378.33333,2582528,2582528,150,0,0,0,1,15,2,12,45,644.3333333,643,642,643.6666667,641.3333333,640.3333333,645.3333333,642
3/15/17 13:00,645,321.6666667,48465,2582528,2582528,114.6666667,0,0,0,1,15,2,13,0,644.3333333,642.3333333,644.6666667,642,641.3333333,641.3333333,640.3333333,645.3333333
3/15/17 13:15,643,320.6666667,35416,2582528,2582528,83.33333333,0,0,0,1,15,2,13,15,642.3333333,642.3333333,641.6666667,645.3333333,641.6666667,641.3333333,641.3333333,640.3333333
3/15/17 13:30,642.3333333,320.6666667,13980,2582528,2582528,32.66666667,0,0,0,1,15,2,13,30,642.6666667,638.6666667,641.3333333,640.3333333,643.6666667,641.6666667,641.3333333,641.3333333
3/15/17 13:45,643.6666667,320.6666667,33552,2582528,2582528,79,0,0,0,1,15,2,13,45,643,643,643.6666667,641.3333333,650.3333333,643.6666667,641.6666667,641.3333333
3/15/17 14:00,642.6666667,320.3333333,65241.66667,2582528,2582528,154.3333333,0,0,0,1,15,2,14,0,643.6666667,642.6666667,642,641.3333333,642.6666667,650.3333333,643.6666667,641.6666667
3/15/17 14:15,643.3333333,321,58717.66667,2582528,2582528,139,0,0,0,1,15,2,14,15,642,643.3333333,645.3333333,641.6666667,640.6666667,642.6666667,650.3333333,643.6666667
3/15/17 14:30,644.6666667,321.6666667,69902,2582528,2582528,165.6666667,0,0,0,1,15,2,14,30,644,640,640.3333333,643.6666667,640,640.6666667,642.6666667,650.3333333
3/15/17 14:45,645.6666667,322,56853.33333,2582528,2582528,134.3333333,0,0,0,1,15,2,14,45,643.6666667,642,641.3333333,650.3333333,641,640,640.6666667,642.6666667
3/15/17 15:00,644.6666667,321.6666667,56853.66667,2582528,2582528,134.3333333,0,0,0,1,15,2,15,0,643.3333333,644.6666667,641.3333333,642.6666667,643.6666667,641,640,640.6666667
3/15/17 15:15,643,320.6666667,8388,2582528,2582528,19.66666667,0,0,0,1,15,2,15,15,643.3333333,641.6666667,641.6666667,640.6666667,641,643.6666667,641,640
3/15/17 15:30,644.3333333,321.3333333,43804.66667,2582528,2582528,103.3333333,0,0,0,1,15,2,15,30,640.6666667,641.3333333,643.6666667,640,642.3333333,641,643.6666667,641
3/15/17 15:45,644.6666667,321.6666667,34484,2582528,2582528,81.33333333,0,0,0,1,15,2,15,45,639.6666667,643.6666667,650.3333333,641,641,642.3333333,641,643.6666667
3/15/17 16:00,644,321,51260.66667,2582528,2582528,121,0,0,0,1,15,2,16,0,642,642,642.6666667,643.6666667,644.6666667,641,642.3333333,641
3/15/17 16:15,644,321.3333333,57785.66667,2582528,2582528,136.6666667,0,0,0,1,15,2,16,15,642.6666667,645.3333333,640.6666667,641,640.3333333,644.6666667,641,642.3333333
3/15/17 16:30,643.6666667,321,42872.66667,2582528,2582528,101.3333333,0,0,0,1,15,2,16,30,642,640.3333333,640,642.3333333,641,640.3333333,644.6666667,641
3/15/17 16:45,644.6666667,321.3333333,50329,2582528,2582528,119,0,0,0,1,15,2,16,45,643,641.3333333,641,641,643,641,640.3333333,644.6666667
3/15/17 17:00,642,320,56853,2582528,2582528,134.3333333,0,0,0,1,15,2,17,0,642.3333333,641.3333333,643.6666667,644.6666667,642.3333333,643,641,640.3333333
